Date,Person_ID,Age,Gender,City,Temperature_C,Activity_Level,Water_Consumed_Liters,Activity_Code
2025-03-14,P0073,46,Female,Karachi,40.2,Medium,3.7045178886939847,1.0
2025-03-15,P0074,25,Male,Islamabad,23.8,High,3.85602309916361,2.0
2025-03-16,P0075,51,Male,Quetta,42.9,High,4.480202232774773,2.0
2025-03-17,P0076,24,Male,Peshawar,15.0,Low,2.3669333426036467,0.0
2025-03-18,P0077,18,Male,Peshawar,19.2,Medium,3.0923104326766087,1.0
2025-03-19,P0078,58,Male,Islamabad,15.9,Medium,2.5297513335895365,1.0
2025-03-20,P0079,55,Male,Islamabad,42.7,High,4.22857359485409,2.0
2025-03-21,P0080,33,Female,Quetta,20.7,Low,2.444862587001238,0.0
2025-03-22,P0081,21,Male,Islamabad,16.4,Low,2.5355026969880496,0.0
2025-03-23,P0082,19,Female,Islamabad,26.9,Low,2.9824724677235874,0.0
2025-03-24,P0083,28,Male,Quetta,31.0,High,4.236469260361868,2.0
2025-03-25,P0084,20,Male,Islamabad,12.6,Medium,2.6399183068515857,1.0
2025-03-26,P0085,39,Female,Islamabad,28.7,Low,3.0627192681363544,0.0
2025-03-27,P0086,46,Male,Quetta,36.8,Medium,3.822017986962911,1.0
2025-03-28,P0087,37,Female,Peshawar,38.1,High,3.956974059696398,2.0
2025-03-29,P0088,36,Female,Islamabad,30.9,High,3.881706516075103,2.0
2025-03-30,P0089,33,Male,Quetta,27.3,Low,3.122031021152365,0.0
2025-03-31,P0090,55,Male,Peshawar,28.6,Low,2.8193621337573784,0.0
2025-04-01,P0091,42,Female,Lahore,17.9,Medium,3.3888165498316334,
2025-04-02,P0092,18,Female,Lahore,41.7,Medium,4.1727153328256685,1.0
2025-04-03,P0093,30,Male,Lahore,17.4,Low,2.677609401071857,0.0
2025-04-04,P0094,32,Male,Islamabad,43.7,Low,3.3198526040515137,0.0
2025-04-05,P0095,54,Female,Karachi,14.7,Medium,3.1234846572754305,1.0
2025-04-06,P0096,30,Male,Lahore,18.9,Low,2.3904271603729907,0.0
2025-04-07,P0097,60,Female,Islamabad,42.0,Low,3.685791758502774,0.0
2025-04-08,P0098,30,Female,Lahore,19.6,Medium,2.905880131627403,1.0
2025-04-09,P0099,59,Male,Karachi,44.3,Medium,4.662209593499618,1.0
2025-04-10,P0100,60,Female,Islamabad,14.5,High,3.686076371641187,2.0
2025-04-11,P0101,48,Female,Quetta,30.5,Low,2.84581845389738,0.0
2025-04-12,P0102,41,Male,Quetta,24.6,Medium,3.401075943696647,1.0
2025-04-13,P0103,39,Female,Karachi,17.9,High,3.3342203165440742,2.0
2025-04-14,P0104,39,Male,Lahore,39.5,Low,3.694209282296695,0.0
2025-04-15,P0105,47,Male,Peshawar,33.3,Low,3.0527327185269093,0.0
2025-04-16,P0106,43,Male,Karachi,18.9,High,3.506365387132283,2.0
2025-04-17,P0107,22,Female,Islamabad,41.0,Medium,4.217004879898896,1.0
2025-04-18,P0108,55,Female,Karachi,29.9,Low,3.1629251514308527,0.0
2025-04-19,P0109,26,Male,Karachi,12.4,High,3.126469485567497,2.0
2025-04-20,P0110,57,Female,Peshawar,28.1,Low,3.02405298211065,0.0
2025-04-21,P0111,56,Female,Peshawar,16.0,Low,2.3660686556801163,0.0
2025-04-22,P0112,20,Female,Karachi,15.3,Medium,2.8566850780087303,1.0
2025-04-23,P0113,26,Female,Lahore,17.9,Low,2.461225373921005,0.0
2025-04-24,P0114,39,Female,Lahore,10.2,Medium,2.67305773340644,1.0
2025-04-25,P0115,50,Male,Quetta,18.6,Low,2.0663356655974607,0.0
2025-04-26,P0116,23,Female,Peshawar,43.7,High,4.842292906584701,2.0
2025-04-27,P0117,51,Female,Islamabad,27.5,Medium,3.4528509611920764,1.0
2025-04-28,P0118,26,Male,Lahore,32.6,High,4.208632953553911,2.0
2025-04-29,P0119,39,Female,Lahore,28.2,Low,2.592441113601766,0.0
2025-04-30,P0120,40,Male,Quetta,35.7,High,4.399701718208176,2.0
2025-05-01,P0121,33,Male,Quetta,38.1,High,4.180369460916524,2.0
2025-05-02,P0122,55,Male,Islamabad,20.5,High,3.9458988259021366,2.0
2025-05-03,P0123,44,Female,Lahore,16.8,Medium,2.6679859275680533,1.0
2025-05-04,P0124,59,Female,Peshawar,11.5,Medium,2.7082938488728745,1.0
2025-05-05,P0125,42,Male,Islamabad,36.0,Medium,3.9674899606398775,1.0
2025-05-06,P0126,40,Male,Islamabad,25.7,Low,2.7976883544059543,0.0
2025-05-07,P0127,56,Male,Karachi,13.8,Low,2.156375132198077,0.0
2025-05-08,P0128,41,Female,Lahore,40.6,Medium,4.0022347761112345,1.0
2025-05-09,P0129,53,Male,Islamabad,31.3,Medium,3.331707624488506,1.0
2025-05-10,P0130,53,Female,Quetta,34.2,Medium,3.702130349816267,1.0
2025-05-11,P0131,23,Female,Lahore,23.0,Medium,2.7658726555623283,1.0
2025-05-12,P0132,48,Female,Peshawar,15.1,High,3.4123676684188613,2.0
2025-05-13,P0133,42,Male,Karachi,28.0,High,4.123914265705914,2.0
2025-05-14,P0134,35,Male,Karachi,14.1,Medium,3.3888165498316334,
2025-05-15,P0135,23,Male,Karachi,20.8,High,3.256105155750813,2.0
2025-05-16,P0136,31,Female,Peshawar,21.7,Medium,2.873746373885193,1.0
2025-05-17,P0137,21,Female,Quetta,17.1,Low,2.0160936800493667,0.0
2025-05-18,P0138,43,Male,Lahore,23.0,Medium,3.166428288004173,1.0
2025-05-19,P0139,24,Female,Karachi,36.1,High,4.079095930117086,2.0
2025-05-20,P0140,51,Male,Quetta,15.8,High,3.1421628039819423,2.0
2025-05-21,P0141,47,Female,Quetta,15.9,High,3.231250966651333,2.0
2025-05-22,P0142,41,Male,Quetta,28.0,High,3.7269608807767622,2.0
2025-05-23,P0143,39,Male,Peshawar,23.1,High,3.62923961998784,2.0
2025-05-24,P0144,43,Female,Islamabad,41.4,Low,3.386235316963253,0.0
2025-05-25,P0145,53,Female,Karachi,40.6,Medium,4.250387185406349,1.0
2025-05-26,P0146,57,Male,Islamabad,40.0,Low,3.303975254993577,0.0
2025-05-27,P0147,57,Male,Peshawar,40.3,Low,3.321772229638279,0.0
2025-05-28,P0148,27,Female,Peshawar,36.5,High,4.302257746295728,2.0
2025-05-29,P0149,18,Male,Peshawar,21.3,High,3.5388910983443096,2.0
2025-05-30,P0150,32,Female,Karachi,34.4,High,4.277700218101097,2.0
2025-05-31,P0151,30,Male,Islamabad,22.9,High,3.940200942746839,2.0
2025-06-01,P0152,49,Male,Peshawar,26.4,High,3.8383046247627153,2.0
2025-06-02,P0153,20,Female,Karachi,34.5,High,3.931245684294652,2.0
2025-06-03,P0154,26,Female,Lahore,23.8,Medium,2.880416726581217,1.0
2025-06-04,P0155,48,Female,Lahore,24.6,Medium,3.15124587595134,1.0
2025-06-05,P0156,26,Male,Quetta,33.0,High,3.935206229123917,2.0
2025-06-06,P0157,45,Male,Islamabad,19.1,Low,2.3464073756578943,0.0
2025-06-07,P0158,53,Male,Peshawar,40.6,Medium,4.400889664043167,1.0
2025-06-08,P0159,33,Female,Islamabad,40.9,Low,3.4402144142287048,0.0
2025-06-09,P0160,58,Female,Lahore,29.9,Low,2.789001557270719,0.0
2025-06-10,P0161,40,Male,Quetta,37.4,Low,3.397658416728621,0.0
2025-06-11,P0162,22,Male,Peshawar,40.7,High,4.255747640548223,2.0
2025-06-12,P0163,28,Male,Islamabad,40.3,High,4.812638630282218,2.0
2025-06-13,P0164,45,Male,Quetta,23.2,High,3.4211361226064634,2.0
2025-06-14,P0165,47,Female,Quetta,37.1,High,4.323480297605365,2.0
2025-06-15,P0166,36,Male,Lahore,10.8,High,3.1782206314733745,2.0
2025-06-16,P0167,49,Male,Lahore,33.7,Low,3.3826879625861084,0.0
2025-06-17,P0168,39,Male,Karachi,30.8,Medium,3.641703697393097,1.0
2025-06-18,P0169,49,Male,Quetta,21.2,Medium,3.192866504316701,1.0
2025-06-19,P0170,50,Male,Islamabad,39.5,Medium,4.30945599252568,1.0
2025-06-20,P0171,60,Male,Quetta,19.7,Low,2.212935312696216,0.0
2025-06-21,P0172,36,Male,Karachi,11.5,Medium,2.640414047503362,1.0
2025-06-22,P0173,25,Male,Peshawar,18.9,High,3.598775830504578,2.0
2025-06-23,P0174,24,Male,Islamabad,11.0,High,3.058549426526867,2.0
2025-06-24,P0175,28,Female,Quetta,29.4,High,4.144952554860758,2.0
2025-06-25,P0176,28,Female,Peshawar,18.0,Medium,2.8258544311553964,1.0
2025-06-26,P0177,56,Female,Islamabad,16.0,Medium,2.964996169354925,1.0
2025-06-27,P0178,56,Male,Quetta,37.2,Low,3.1761002066497244,0.0
2025-06-28,P0179,21,Female,Karachi,28.6,Low,3.264953825860569,0.0
2025-06-29,P0180,44,Female,Quetta,29.5,Low,2.7683478837978828,0.0
2025-06-30,P0181,58,Male,Islamabad,20.1,Medium,3.1610881365001218,1.0
2025-07-01,P0182,44,Male,Karachi,40.0,Low,3.4109226539334747,0.0
2025-07-02,P0183,34,Female,Quetta,22.4,Medium,3.1627887305647246,1.0
2025-07-03,P0184,19,Male,Islamabad,29.1,Medium,3.344335759504632,1.0
2025-07-04,P0185,36,Male,Peshawar,23.2,Medium,3.117410960601724,1.0
2025-07-05,P0186,47,Male,Karachi,32.5,Medium,3.376475274971418,1.0
2025-07-06,P0187,30,Male,Lahore,23.7,Medium,3.3475078293669247,1.0
2025-07-07,P0188,37,Female,Islamabad,38.1,Low,3.322886884770361,0.0
2025-07-08,P0189,44,Female,Quetta,22.8,Medium,3.345210503064537,1.0
2025-07-09,P0190,18,Female,Karachi,24.8,Medium,3.0963105545278142,1.0
2025-07-10,P0191,38,Female,Quetta,18.5,Low,2.4340687957901284,0.0
2025-07-11,P0192,47,Male,Quetta,41.9,Medium,3.983749701106593,1.0
2025-07-12,P0193,45,Female,Peshawar,28.9,Medium,3.0990947115134686,1.0
2025-07-13,P0194,36,Female,Karachi,12.7,High,2.9211713848608523,2.0
2025-07-14,P0195,31,Male,Lahore,43.7,Medium,4.04907350898521,1.0
2025-07-15,P0196,35,Female,Lahore,30.8,Low,3.3422445431802936,0.0
2025-07-16,P0197,40,Female,Karachi,34.3,Low,3.5744932535112355,0.0
2025-07-17,P0198,52,Male,Peshawar,30.2,High,4.11959512286486,2.0
2025-07-18,P0199,52,Male,Islamabad,33.2,High,4.218075420255157,2.0
2025-07-19,P0200,23,Male,Karachi,36.9,High,4.586196024934643,2.0
2025-07-20,P0201,55,Female,Lahore,11.9,Medium,2.7474599180856027,1.0
2025-07-21,P0202,42,Female,Peshawar,22.9,Low,2.787143473515021,0.0
2025-07-22,P0203,33,Male,Karachi,33.9,Low,3.247582452603526,0.0
2025-07-23,P0204,37,Male,Karachi,42.1,Medium,3.3888165498316334,
2025-07-24,P0205,21,Male,Quetta,40.1,Low,3.5805518363439783,0.0
2025-07-25,P0206,30,Male,Peshawar,24.2,Low,3.0455239991687337,0.0
2025-07-26,P0207,30,Male,Lahore,36.0,High,4.497264042841817,2.0
2025-07-27,P0208,43,Female,Karachi,27.8,Low,3.02863754052087,0.0
2025-07-28,P0209,27,Male,Karachi,13.6,High,3.49027541473821,2.0
2025-07-29,P0210,44,Female,Lahore,27.2,Medium,3.2722315614825424,1.0
2025-07-30,P0211,50,Male,Islamabad,37.8,Low,3.2161763044797005,0.0
2025-07-31,P0212,47,Female,Quetta,36.3,Medium,3.836009761873468,1.0
2025-08-01,P0213,52,Female,Karachi,13.0,High,3.3920444843770508,2.0
2025-08-02,P0214,39,Female,Islamabad,40.3,High,4.460838137518651,2.0
2025-08-03,P0215,37,Female,Karachi,29.9,Medium,3.462132507283562,1.0
2025-08-04,P0216,59,Male,Lahore,28.2,High,3.7317670238293816,2.0
2025-08-05,P0217,56,Female,Quetta,13.1,High,3.10330871421328,2.0
2025-08-06,P0218,47,Male,Islamabad,24.5,Medium,2.930833291439489,1.0
2025-08-07,P0219,32,Male,Karachi,15.0,High,3.1681363277383885,2.0
2025-08-08,P0220,32,Male,Quetta,10.2,Medium,2.3234113796563127,1.0
2025-08-09,P0221,44,Male,Karachi,25.6,Low,2.881881602769945,0.0
2025-08-10,P0222,39,Male,Lahore,31.3,Medium,3.300013818993403,1.0
2025-08-11,P0223,38,Female,Lahore,40.7,Low,3.536794860059606,0.0
2025-08-12,P0224,53,Male,Quetta,10.8,High,3.290779167047033,2.0
2025-08-13,P0225,36,Male,Peshawar,44.9,High,4.638119749906693,2.0
2025-08-14,P0226,19,Male,Lahore,39.4,High,4.74559712841665,2.0
2025-08-15,P0227,41,Male,Lahore,25.7,Low,2.61504278510947,0.0
2025-08-16,P0228,56,Male,Quetta,15.7,High,3.510773156004777,2.0
2025-08-17,P0229,40,Male,Islamabad,28.1,High,3.6958860457861937,2.0
2025-08-18,P0230,33,Female,Karachi,16.4,Medium,2.6927052283619464,1.0
2025-08-19,P0231,44,Male,Lahore,25.1,Low,2.794585300719203,0.0
2025-08-20,P0232,55,Female,Karachi,42.4,Low,3.7994021782668814,0.0
2025-08-21,P0233,41,Male,Lahore,14.8,High,3.082244176493435,2.0
2025-08-22,P0234,55,Female,Karachi,43.9,Low,3.753949339702906,0.0
2025-08-23,P0235,56,Male,Quetta,18.2,Low,2.4484118067939096,0.0
2025-08-24,P0236,39,Male,Lahore,29.4,High,3.909823980095597,2.0
2025-08-25,P0237,47,Female,Peshawar,40.1,Medium,3.8421497226350345,1.0
2025-08-26,P0238,32,Male,Karachi,29.2,Medium,3.1047918124125875,1.0
2025-08-27,P0239,25,Female,Lahore,13.2,Medium,2.920618316049949,1.0
2025-08-28,P0240,25,Female,Peshawar,21.1,High,3.515892698502989,2.0
2025-08-29,P0241,42,Female,Islamabad,13.7,High,3.225108791338652,2.0
2025-08-30,P0242,25,Male,Peshawar,21.3,Low,2.503827399715806,0.0
2025-08-31,P0243,47,Male,Quetta,24.9,Medium,3.4470058029004527,1.0
2025-09-01,P0244,25,Female,Quetta,26.0,Low,2.992334934815821,0.0
2025-09-02,P0245,34,Male,Peshawar,40.4,Medium,4.149515137740987,1.0
2025-09-03,P0246,37,Male,Peshawar,29.3,Low,3.164193877820117,0.0
2025-09-04,P0247,25,Female,Lahore,43.3,Medium,4.141402197410796,1.0
2025-09-05,P0248,56,Male,Peshawar,31.2,Medium,3.464808377301241,1.0
2025-09-06,P0249,58,Male,Quetta,29.4,Medium,3.7268177199370216,1.0
2025-09-07,P0250,51,Female,Quetta,41.4,Medium,4.12190473360487,1.0
2025-09-08,P0251,18,Male,Islamabad,44.5,Medium,4.252230883111915,1.0
2025-09-09,P0252,22,Male,Karachi,36.9,High,4.103807738432263,2.0
2025-09-10,P0253,32,Male,Quetta,29.4,Medium,3.4175371282782674,1.0
2025-09-11,P0254,50,Female,Peshawar,36.5,Low,3.352845389495137,0.0
2025-09-12,P0255,33,Male,Karachi,11.7,Medium,2.9863719795273957,1.0
2025-09-13,P0256,33,Female,Peshawar,13.3,Medium,2.635359274907512,1.0
2025-09-14,P0257,39,Female,Quetta,25.4,High,3.681240874364546,2.0
2025-09-15,P0258,27,Female,Karachi,44.6,Medium,4.659384000867237,1.0
2025-09-16,P0259,23,Male,Lahore,39.1,Medium,3.832848508615969,1.0
2025-09-17,P0260,39,Female,Peshawar,34.3,Medium,4.15193303215334,1.0
2025-09-18,P0261,24,Female,Quetta,28.8,High,3.820261985961338,2.0
2025-09-19,P0262,42,Female,Quetta,24.0,Medium,3.1760320361235306,1.0
2025-09-20,P0263,18,Female,Karachi,25.5,Medium,3.433699478900041,1.0
2025-09-21,P0264,38,Male,Peshawar,33.0,Medium,3.6509852292889047,1.0
2025-09-22,P0265,32,Female,Peshawar,31.3,Low,3.149027245651084,0.0
2025-09-23,P0266,48,Female,Islamabad,26.1,Medium,3.3710538960398253,1.0
2025-09-24,P0267,28,Female,Quetta,26.3,Medium,3.084716152784255,1.0
2025-09-25,P0268,38,Female,Quetta,37.6,Low,3.33016819454884,0.0
2025-09-26,P0269,29,Female,Islamabad,12.8,High,3.2739675805378257,2.0
2025-09-27,P0270,59,Female,Lahore,39.1,Medium,3.974685360299233,1.0
2025-09-28,P0271,33,Male,Islamabad,20.2,Medium,2.9729002197458163,1.0
2025-09-29,P0272,47,Female,Karachi,23.5,Low,2.743046064288782,0.0
2025-09-30,P0273,45,Male,Karachi,43.4,Medium,3.9806473325260097,1.0
2025-10-01,P0274,32,Male,Islamabad,27.8,Medium,3.613722931638528,1.0
2025-10-02,P0275,50,Male,Peshawar,12.1,Medium,2.2613794730205226,1.0
2025-10-03,P0276,24,Male,Lahore,23.5,Low,2.767946504087004,0.0
2025-10-04,P0277,60,Male,Peshawar,12.1,High,3.0671626727222336,2.0
2025-10-05,P0278,22,Male,Quetta,18.2,Medium,2.8613583539350005,1.0
2025-10-06,P0279,54,Male,Islamabad,28.6,Medium,3.5148425630028477,1.0
2025-10-07,P0280,35,Male,Peshawar,27.8,Low,3.0177178241377893,0.0
2025-10-08,P0281,36,Male,Peshawar,37.1,High,4.391687094326869,2.0
2025-10-09,P0282,59,Male,Lahore,32.6,Low,2.8612441437504303,0.0
2025-10-10,P0283,46,Male,Lahore,32.5,High,3.917115748158548,2.0
2025-10-11,P0284,50,Male,Peshawar,39.9,High,4.221579153971723,2.0
2025-10-12,P0285,20,Male,Peshawar,20.8,High,3.699508931488268,2.0
2025-10-13,P0286,60,Male,Karachi,26.3,High,3.8818419726238944,2.0
2025-10-14,P0287,19,Female,Peshawar,39.1,Low,3.900267247483471,0.0
2025-10-15,P0288,19,Female,Islamabad,38.2,Medium,3.3888165498316334,
2025-10-16,P0289,44,Male,Peshawar,44.7,Low,3.484219765737228,0.0
2025-10-17,P0290,49,Female,Quetta,42.6,High,4.760204287645495,2.0
2025-10-18,P0291,47,Male,Islamabad,19.8,Medium,2.984316213267693,1.0
2025-10-19,P0292,23,Female,Peshawar,15.6,Medium,3.0916034828690715,1.0
2025-10-20,P0293,39,Female,Lahore,42.9,Low,3.350591167967195,0.0
2025-10-21,P0294,58,Male,Karachi,29.9,High,4.127786863586904,2.0
2025-10-22,P0295,27,Male,Quetta,35.2,Low,3.286350785302468,0.0
2025-10-23,P0296,39,Male,Islamabad,42.9,Low,3.5670611897229088,0.0
2025-10-24,P0297,39,Female,Peshawar,28.2,Medium,3.3888165498316334,
2025-10-25,P0298,28,Male,Quetta,41.3,High,4.475484798764231,2.0
2025-10-26,P0299,23,Male,Peshawar,31.2,High,4.184102037312857,2.0
2025-10-27,P0300,33,Male,Islamabad,42.0,High,5.145082532986325,2.0
2025-10-28,P0301,37,Female,Lahore,11.5,Low,1.8250716958324724,0.0
2025-10-29,P0302,20,Female,Lahore,10.1,Low,1.7655407203175848,0.0
2025-10-30,P0303,22,Female,Quetta,42.1,High,4.544433678661123,2.0
2025-10-31,P0304,36,Male,Peshawar,44.9,High,4.891089641057492,2.0
2025-11-01,P0305,20,Female,Peshawar,43.1,High,4.85315320011218,2.0
2025-11-02,P0306,25,Male,Lahore,21.3,Medium,2.935008205445888,1.0
2025-11-03,P0307,39,Male,Peshawar,25.5,Low,2.6949124493454217,0.0
2025-11-04,P0308,50,Female,Karachi,19.5,High,3.530695005438653,2.0
2025-11-05,P0309,54,Male,Islamabad,15.4,Low,2.2206548803907387,0.0
2025-11-06,P0310,20,Male,Peshawar,38.8,Medium,3.878688033840013,1.0
2025-11-07,P0311,45,Male,Lahore,23.7,High,3.502373402761678,2.0
2025-11-08,P0312,39,Female,Lahore,29.3,High,3.98820194186576,2.0
2025-11-09,P0313,39,Male,Peshawar,22.5,High,3.600306776567165,2.0
2025-11-10,P0314,39,Male,Lahore,17.4,High,3.659614025232263,2.0
2025-11-11,P0315,60,Male,Lahore,40.0,Low,3.752311581524175,0.0
2025-11-12,P0316,45,Male,Lahore,23.1,High,3.129284227808618,2.0
2025-11-13,P0317,28,Female,Peshawar,14.7,Medium,3.1415655854374247,1.0
2025-11-14,P0318,37,Male,Islamabad,22.1,High,3.740200916582169,2.0
2025-11-15,P0319,52,Female,Peshawar,32.5,High,3.985791295948097,2.0
2025-11-16,P0320,22,Female,Peshawar,41.3,Low,3.331476247925821,0.0
2025-11-17,P0321,28,Female,Islamabad,27.5,Medium,3.3858907733069668,1.0
2025-11-18,P0322,20,Female,Karachi,15.2,Medium,2.5517424902686194,1.0
2025-11-19,P0323,39,Female,Quetta,16.4,High,3.340156258148208,2.0
2025-11-20,P0324,23,Male,Lahore,14.3,Medium,3.0983385111080826,1.0
2025-11-21,P0325,53,Male,Quetta,20.6,High,3.701782218507964,2.0
2025-11-22,P0326,25,Male,Karachi,13.7,High,3.2004684414777715,2.0
2025-11-23,P0327,19,Female,Peshawar,23.6,Medium,3.470071650138131,1.0
2025-11-24,P0328,54,Female,Lahore,35.5,Medium,3.8925206868032336,1.0
2025-11-25,P0329,19,Female,Karachi,12.9,Low,1.9225466295318463,0.0
2025-11-26,P0330,28,Female,Peshawar,42.2,Low,3.7413432714701456,0.0
2025-11-27,P0331,47,Female,Karachi,24.7,Low,2.6923401943048115,0.0
2025-11-28,P0332,58,Female,Islamabad,32.8,High,4.173108837080724,2.0
2025-11-29,P0333,59,Male,Islamabad,23.8,Low,2.577553488755758,0.0
2025-11-30,P0334,32,Female,Lahore,12.0,High,2.7690143342012545,2.0
2025-12-01,P0335,28,Male,Peshawar,15.0,Low,2.309638691226063,0.0
2025-12-02,P0336,28,Female,Peshawar,42.1,Low,3.215907299973158,0.0
2025-12-03,P0337,52,Female,Quetta,15.1,Medium,3.081819394688986,1.0
2025-12-04,P0338,45,Male,Karachi,41.2,Medium,3.739493473320449,1.0
2025-12-05,P0339,58,Male,Karachi,31.4,High,4.181860655677348,2.0
2025-12-06,P0340,44,Female,Islamabad,23.1,High,3.799905721402889,2.0
2025-12-07,P0341,51,Female,Quetta,13.4,Low,2.2624937602865884,0.0
